rel_path,file_name,split,cls,ratio,pile_id,illum,illum_method,mean_R,mean_G,mean_B,mean_H,mean_S,mean_V,hue_std,sat_std,val_std,bright,contrast,roi_ok,source,frame_idx
pure/IMG (73).MOV#f00100,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,163.43973203279438,129.81832872377143,32.591240188805266,22.331435717903776,204.80973566366484,163.43973203279438,0.5834041246446838,19.57563402190602,6.678234625496718,128.68871113063514,8.969269219086561,1,frame,100
pure/IMG (73).MOV#f00200,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,153.781734595203,118.14962667047128,28.43236315213773,21.527905391480797,209.05428575957896,153.781734595203,0.6808000144314893,25.97519382502835,8.38159197742521,118.48975761322744,11.722782403470426,1,frame,200
pure/IMG (73).MOV#f00300,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,160.22226993304855,126.09933023871042,24.87924677766837,22.46730039805636,215.72732522413807,160.22226993304855,0.6235923446048591,12.445719095303676,5.576993098209591,124.65630930435148,6.963536369772896,1,frame,300
pure/IMG (73).MOV#f00350,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,164.19493355643326,130.44186863478845,25.890445399969305,22.751340869441147,215.19270471903891,164.19493355643326,0.5546774492552063,14.36073862829177,5.505941679536612,128.5190575325408,7.267097872939489,1,frame,350
pure/IMG (73).MOV#f00450,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,181.0864517678132,154.01551113512215,33.63714268563539,24.495167777177503,207.9166528603157,181.0864517678132,0.5106490096659944,13.595135379780777,4.036299755849471,148.34948076115012,5.256486952504752,1,frame,450
pure/IMG (73).MOV#f00500,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,145.5532056602536,107.02000357327822,25.11845417270694,20.374787129866046,212.1765425593266,145.5532056602536,0.624596822202577,25.889116173104934,7.709531083179312,109.14484102304311,10.733598800052135,1,frame,500
pure/IMG (73).MOV#f00600,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,145.09315105992823,106.99286568742524,24.599831626473268,20.42060006974939,212.89325155904885,145.09315105992823,1.113538586530138,21.42364935728897,11.258634322452252,108.91270076386832,13.726806030761578,1,frame,600
pure/IMG (73).MOV#f00650,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,164.9728334268776,132.85774765846986,28.754615094538185,22.956078770126634,210.96064782334165,164.9728334268776,0.3895851567366459,16.234913142158945,4.822864779849211,130.49073034693234,6.727399774371543,1,frame,650
pure/IMG (73).MOV#f00700,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,172.53230974855902,143.3853078272492,46.42471973937015,22.95709965750564,188.5098187285941,172.53230974855902,0.7384568559629396,41.463694135065424,9.651549067455855,140.9827616740456,15.119608120585603,1,frame,700
pure/IMG (73).MOV#f00950,IMG (73).MOV,train,0,100_0,pure_B,ambient,ambient,169.38515910778625,138.4899571754222,36.456687639438734,23.00839342310262,201.73072772660868,169.38515910778625,0.6397540720581417,32.85057243052486,9.493417330135925,136.01744693036596,13.659248003528509,1,frame,950
pure/IMG (74).MOV#f00150,IMG (74).MOV,train,0,100_0,pure_C,ambient,ambient,139.39124328569812,102.46469957867131,22.618660933579164,20.41172398644826,215.46690939103692,139.39124328569812,1.5800091621056322,24.34367547789881,18.80782783859479,104.3285897802834,19.556174030385705,1,frame,150
pure/IMG (74).MOV#f00200,IMG (74).MOV,train,0,100_0,pure_C,ambient,ambient,140.12871352175227,104.1416821054568,23.767307869184176,20.65296884649244,213.52705401605635,140.12871352175227,1.3194924922622089,25.23071072701287,17.698013053089202,105.66411105417372,18.40831488858342,1,frame,200
